Term Frequency
報導 1033
台灣 827
分 789
記者 707
民進黨 664
2 637
立委 627
場 580
政府 571
1 561
總統 537
問題 535
3 528
前 524
綜合 489
比賽 484
先發 469
中國 465
不過 459
局 449
台北 444
今年 443
認為 433
球員 430
馬英九 409
勝 404
希望 394
4 391
球隊 383
元 378
國民黨 363
目前 360
馬 355
安打 355
應 354
5 348
指出 347
行政院 346
昨天 345
經濟 337
戰 319
美國 316
進行 313
6 312
可能 306
兩岸 305
表現 303
陳 302
對於 301
最後 298
今天 290
新 287
季後賽 286
現在 284
就是 283
退休 282
沒 281
已經 267
未 265
立法院 265
球季 264
釣魚台 261
相關 261
應該 261
支 261
7 260
機會 259
強調 258
提出 255
NBA 252
改革 248
洋基 247
雖然 247
年終 246
多 246
時間 245
國家 241
內 239
台 239
中國時報 239
媒體 232
敗 231
是否 230
先 230
未來 227
月 226
還是 226
日本 226
蘇貞昌 222
大陸 221
因此 221
要求 218
昨 214
不會 213
外 210
成為 210
該 209
關係 209
委員會 209
8 208
政治 206
聯盟 206
拿下 205
過去 203
這樣 202
慰問金 202
國民 200
世界 200
第一 200
預算 200
本季 199
投手 199
國際 198
球 198
政策 198
討論 197
事 191
冠軍 190
黨 189
代表 189
包括 189
謝長廷 188
名 186
給 185
中央 184
主權 184
過 184
面對 183
當 183
去年 181
總教練 178
投 178
決定 177
僅 176
大聯盟 176
無法 175
日 174
雙方 174
接受 173
連 173
必須 172
9 170
制度 169
隊 169
MLB 166
季 166
大家 165
議題 164
人民 164
高 163
成績 163
球迷 163
人員 162
重要 162
非常 162
意見 162
社會 160
發展 160
主席 160
個人 158
支持 158
黨團 158
只是 157
狀況 156
會議 156
行政 154
外交部 154
生涯 154
金鶯 154
只有 153
領先 152
擊出 151
明年 151
陳揆 150
不能 150
老虎 149
報告 149
擔任 149
一定 148
至於 147
天 147
工作 145
但是 145
自由時報 145
官員 145
開始 144
處理 143
質疑 143
美 143
提案 142
相當 141
10 141
本 140
其他 139
遭 138
湖人 138
獲得 137
繼續 137
軍公教 137
針對 137
無 136
出賽 136
爭議 136
努力 134
半 134
年金 134
日前 133
上場 133
解決 132
全壘打 131
和平 131
局下 131
根據 130
交流 130
紀錄 130
以及 130
情況 129
影響 129
外界 129
第二 129
大賽 127
事情 127
太 127
甚至 127
: 127
局上 127
方案 127
需要 127
公務員 127
第2 126
結果 126
參加 126
歲 125
民眾 125
舉行 125
地方 124
主張 124
回應 124
球團 123
打出 123
推動 122
同時 122
由於 121
內閣 121
立院 121
很多 121
合約 121
發言人 121
行政院長 121
增加 121
隊友 121
今日 120
結束 120
檢討 120
不要 120
方式 117
知道 117
紅雀 117
連續 116
人士 116
上午 116
轟 116
出席 115
之後 115
我國 115
完全 114
》 114
說明 114
立場 113
任何 113
持續 112
巨人 112
電價 112
展開 111
連戰 110
強 110
中心 110
態度 109
取得 109
確定 109
完成 108
目標 108
除了 107
批評 107
修法 107
第1 107
能夠 107
《 107
規定 106
基金 106
雖 106
戰績 105
教練 104
再度 104
調整 104
0 104
全 104
引發 104
通過 104
計畫 104
方向 103
對手 103
勇士 103
第3 103
項 103
桿 103
訪問 103
不同 102
這些 102
話 101
透露 101
改變 101
火箭 101
． 101
部分 100
勞保 100
事務 100
宣布 99
江宜樺 99
一樣 99
超過 99
合作 99
主委 99
表達 99
失 98
準備 98
高層 98
真的 96
內容 96
透過 96
參與 96
成功 96
協商 95
幫助 95
勞工 95
為了 95
選手 94
調查 94
如何 94
昨日 94
像 93
發生 93
積極 93
批 93
第4 92
令 92
研究 92
洋基隊 92
人事 92
前往 92
戰力 91
加上 91
擊敗 91
期待 91
呼籲 91
召開 91
正式 90
三振 90
出局 90
名單 90
方面 89
自由 89
朝野 89
賽 89
提 89
依 89
約 89
得分 89
許多 89
熱火 89
此外 89
消息 89
政院 88
陳偉殷 88
防禦率 88
記者會 88
保送 88
只要 88
共識 87
贏 87
當時 87
最佳 87
度 87
期間 87
造成 87
獎金 87
發放 87
進入 86
中華民國 86
出現 86
受訪 86
主場 86
尼克 86
選舉 85
相信 85
打擊 85
溝通 85
外交 84
台美 84
先發投手 83
執政 83
系列賽 83
四 83
平均 83
投球 83
差 82
不少 82
首長 82
維持 81
台電 81
之一 80
根本 80
共同 80
落後 80
一直 80
市長 79
球場 79
邀請 79
錢 79
當然 79
關鍵 79
談判 79
一年 79
抗議 79
總 79
裡 79
而且 79
投資 79
共 78
受 78
朗 78
總統府 78
分鐘 78
籃板 78
加入 78
壓力 78
願意 78
排名 77
特別 77
其實 77
, 77
正 77
除 77
訓練 77
財政 77
11 77
美方 77
考量 76
近 76
施政 76
攻下 76
分區 76
運動家 76
快 75
王建民 75
責任 75
美元 75
下午 75
覺得 75
比較 75
了解 75
宣示 75
其中 75
國民隊 74
中常會 74
Howard 74
我方 74
進一步 74
至少 74
發表 74
活動 74
大學 74
以來 74
預計 74
尊重 73
能力 73
使用 73
亞洲 73
首 73
傳出 73
以上 73
公平 72
連勝文 72
老虎隊 72
學生 72
補助 72
嗎 72
順利 72
會談 72
階段 71
優勢 71
爭取 71
考試院 71
雷霆 70
團隊 70
選擇 70
所有 70
二壘 70
談 70
紐約 69
